"Date","Price","Open","High","Low","Vol.","Change %"
"24/06/2020","111.86","116.16","117.90","111.84","43.61M","-4.31%"
"23/06/2020","116.90","116.06","118.98","115.20","41.73M","1.39%"
"22/06/2020","115.30","115.84","118.50","114.58","52.78M","-1.08%"
"19/06/2020","116.56","120.12","120.64","116.56","93.55M","-1.75%"
"18/06/2020","118.64","118.86","121.00","117.05","57.74M","-0.62%"
"17/06/2020","119.38","122.90","124.28","118.36","51.63M","-2.69%"
"16/06/2020","122.68","121.46","126.48","119.16","72.56M","5.67%"
"15/06/2020","116.10","112.20","117.18","111.20","45.07M","-0.82%"
"12/06/2020","117.06","112.50","121.40","112.00","69.19M","1.79%"
"11/06/2020","115.00","119.20","120.76","114.00","75.00M","-7.26%"
"10/06/2020","124.00","126.28","130.28","123.36","67.38M","-1.02%"
"09/06/2020","125.28","131.74","132.46","124.56","90.84M","-4.95%"
"08/06/2020","131.80","130.50","134.72","129.03","72.87M","0.30%"
"05/06/2020","131.40","126.40","132.72","124.54","119.65M","6.38%"
"04/06/2020","123.52","124.74","125.36","120.60","81.62M","-1.44%"
"03/06/2020","125.32","122.06","125.32","120.30","73.74M","4.87%"
"02/06/2020","119.50","121.52","123.28","119.24","65.69M","-1.06%"
"01/06/2020","120.78","117.50","120.80","116.80","49.49M","4.81%"
"29/05/2020","115.24","119.44","123.28","114.92","110.32M","-6.02%"
"28/05/2020","122.62","121.52","124.93","118.40","88.84M","2.32%"
"27/05/2020","119.84","112.74","121.40","111.10","108.81M","8.18%"
"26/05/2020","110.78","107.62","110.82","106.59","80.41M","7.41%"
"22/05/2020","103.14","102.30","106.60","100.60","45.53M","-0.75%"
"21/05/2020","103.92","104.40","105.86","103.18","49.31M","-2.62%"
"20/05/2020","106.72","103.88","106.78","101.40","38.77M","1.91%"
"19/05/2020","104.72","107.58","108.24","102.61","49.91M","-0.46%"
"18/05/2020","105.20","99.23","105.36","99.06","48.47M","7.95%"
"15/05/2020","97.45","97.86","101.10","96.13","44.83M","0.32%"
"14/05/2020","97.14","95.48","98.51","91.86","61.13M","-0.89%"
"13/05/2020","98.01","100.00","101.08","98.01","60.11M","-3.91%"
"12/05/2020","102.00","103.36","104.76","101.42","42.28M","-0.58%"
"11/05/2020","102.60","107.64","108.70","102.14","69.71M","-2.68%"
"07/05/2020","105.42","101.28","106.32","100.40","50.19M","4.52%"
"06/05/2020","100.86","103.20","104.23","100.72","49.17M","-2.46%"
"05/05/2020","103.40","102.00","104.44","100.24","55.02M","3.73%"
"04/05/2020","99.68","99.50","102.00","98.70","60.17M","-2.98%"
"01/05/2020","102.74","103.00","104.98","101.75","48.67M","-2.98%"
"30/04/2020","105.90","112.00","114.62","105.38","140.35M","-3.88%"
"29/04/2020","110.18","99.00","112.73","97.80","161.68M","12.70%"
"28/04/2020","97.76","91.28","99.24","91.18","88.76M","7.36%"
"27/04/2020","91.06","91.98","91.98","88.84","49.08M","2.76%"
"24/04/2020","88.61","89.20","90.80","87.54","44.19M","-2.20%"
"23/04/2020","90.60","88.00","91.82","87.41","71.04M","3.31%"
"22/04/2020","87.70","87.42","88.02","85.16","97.61M","1.38%"
"21/04/2020","86.51","88.75","89.72","86.44","70.66M","-4.94%"
"20/04/2020","91.01","91.50","92.19","88.89","41.93M","0.33%"
"17/04/2020","90.71","91.17","92.90","89.05","74.87M","4.17%"
"16/04/2020","87.08","87.81","91.02","85.47","84.75M","0.09%"
"15/04/2020","87.00","92.83","93.47","87.00","215.11M","-7.00%"
"14/04/2020","93.55","97.99","99.90","93.14","65.40M","-4.13%"
"09/04/2020","97.58","94.46","98.99","92.92","85.05M","5.32%"
"08/04/2020","92.65","92.64","94.52","90.31","73.47M","-2.26%"
"07/04/2020","94.79","90.00","100.28","89.56","115.03M","9.51%"
"06/04/2020","86.56","83.00","87.52","82.68","95.20M","7.88%"
