Date,Value
04/10/2021,0.09
05/10/2021,0.08
06/10/2021,0.08
07/10/2021,0.07
08/10/2021,0.07
12/10/2021,0.07
13/10/2021,0.07
14/10/2021,0.07
15/10/2021,0.07
18/10/2021,0.07
19/10/2021,0.08
20/10/2021,0.08
21/10/2021,0.06
22/10/2021,0.06
25/10/2021,0.07
26/10/2021,0.08
27/10/2021,0.07
28/10/2021,0.07
29/10/2021,0.08
01/11/2021,0.09
02/11/2021,0.10
03/11/2021,0.09
04/11/2021,0.10
05/11/2021,0.09
08/11/2021,0.09
09/11/2021,0.11
10/11/2021,0.10
12/11/2021,0.11
15/11/2021,0.11
16/11/2021,0.11
17/11/2021,0.11
18/11/2021,0.11
19/11/2021,0.11
22/11/2021,0.12
23/11/2021,0.12
24/11/2021,0.12
26/11/2021,0.12
29/11/2021,0.11
30/11/2021,0.12
01/12/2021,0.11
02/12/2021,0.13
03/12/2021,0.13
06/12/2021,0.13
07/12/2021,0.14
08/12/2021,0.13
09/12/2021,0.14
10/12/2021,0.14
13/12/2021,0.15
14/12/2021,0.16
15/12/2021,0.16
16/12/2021,0.16
17/12/2021,0.16
20/12/2021,0.14
21/12/2021,0.15
22/12/2021,0.13
23/12/2021,0.14
29/12/2021,0.17
30/12/2021,0.16
31/12/2021,0.15
04/01/2022,0.14
05/01/2022,0.14
06/01/2022,0.13
07/01/2022,0.14
10/01/2022,0.11
11/01/2022,0.12
12/01/2022,0.12
13/01/2022,0.12
14/01/2022,0.11
18/01/2022,0.08
19/01/2022,0.09
20/01/2022,0.08
21/01/2022,0.09
22/01/2022,
23/01/2022,
24/01/2022,
25/01/2022,
26/01/2022,
27/01/2022,
28/01/2022,
29/01/2022,
30/01/2022,
31/01/2022,
01/02/2022,
02/02/2022,
03/02/2022,
04/02/2022,
05/02/2022,
06/02/2022,
07/02/2022,
08/02/2022,
09/02/2022,
10/02/2022,
11/02/2022,
