Date,ADS Index,,,,,,
2018-10-25,-0.460746,,,,,,
2018-10-26,-0.456328,,,,,,
2018-10-27,-0.451529,,,,,,
2018-10-28,-0.446349,,,,,,
2018-10-29,-0.440647,,,,,,
2018-10-30,-0.434422,,,,,,
2018-10-31,-0.427671,,,,,,
2018-11-01,-0.420391,,,,,,
2018-11-02,-0.413178,,,,,,
2018-11-03,-0.406028,,,,,,
2018-11-04,-0.398939,,,,,,
2018-11-05,-0.391856,,,,,,
2018-11-06,-0.384775,,,,,,
2018-11-07,-0.377693,,,,,,
2018-11-08,-0.370609,,,,,,
2018-11-09,-0.363519,,,,,,
2018-11-10,-0.35642,,,,,,
2018-11-11,-0.349311,,,,,,
2018-11-12,-0.342134,,,,,,
2018-11-13,-0.334885,,,,,,
2018-11-14,-0.327564,,,,,,
2018-11-15,-0.320166,,,,,,
2018-11-16,-0.312689,,,,,,
2018-11-17,-0.305129,,,,,,
2018-11-18,-0.297485,,,,,,
2018-11-19,-0.289384,,,,,,
2018-11-20,-0.280822,,,,,,
2018-11-21,-0.271796,,,,,,
2018-11-22,-0.262303,,,,,,
2018-11-23,-0.25234,,,,,,
2018-11-24,-0.241901,,,,,,
2018-11-25,-0.230984,,,,,,
2018-11-26,-0.220323,,,,,,
2018-11-27,-0.209914,,,,,,
2018-11-28,-0.199753,,,,,,
2018-11-29,-0.189836,,,,,,
2018-11-30,-0.18016,,,,,,
2018-12-01,-0.170719,,,,,,
2018-12-02,-0.162154,,,,,,
2018-12-03,-0.15531,,,,,,
2018-12-04,-0.150186,,,,,,
2018-12-05,-0.146779,,,,,,
2018-12-06,-0.145088,,,,,,
2018-12-07,-0.145113,,,,,,
2018-12-08,-0.146853,,,,,,
2018-12-09,-0.150309,,,,,,
2018-12-10,-0.154035,,,,,,
2018-12-11,-0.158031,,,,,,
2018-12-12,-0.162299,,,,,,
2018-12-13,-0.166842,,,,,,
2018-12-14,-0.17166,,,,,,
2018-12-15,-0.176756,,,,,,
2018-12-16,-0.182131,,,,,,
2018-12-17,-0.187692,,,,,,
2018-12-18,-0.193441,,,,,,
2018-12-19,-0.19938,,,,,,
2018-12-20,-0.205512,,,,,,
2018-12-21,-0.211838,,,,,,
2018-12-22,-0.218362,,,,,,
2018-12-23,-0.225085,,,,,,
2018-12-24,-0.232049,,,,,,
2018-12-25,-0.239254,,,,,,
2018-12-26,-0.246706,,,,,,
2018-12-27,-0.254405,,,,,,
2018-12-28,-0.262356,,,,,,
2018-12-29,-0.27056,,,,,,
2018-12-30,-0.279023,,,,,,
2018-12-31,-0.288771,,,,,,
2019-01-01,-0.299809,,,,,,
2019-01-02,-0.311086,,,,,,
2019-01-03,-0.322606,,,,,,
2019-01-04,-0.334373,,,,,,
2019-01-05,-0.346392,,,,,,
2019-01-06,-0.358668,,,,,,
2019-01-07,-0.370961,,,,,,
2019-01-08,-0.383276,,,,,,
2019-01-09,-0.395617,,,,,,
